flight_id,"flnr","date","journey_id","scheduled_departure_utc","actual_departure_utc","scheduled_departure_local","actual_departure_local","actual_departure_is_estimated","departure_ident","departure_icao","departure_iata","departure_name","departure_city","departure_terminal","departure_gate","arrival_ident","arrival_icao","arrival_iata","arrival_name","arrival_city","arrival_terminal","scheduled_arrival_utc","actual_arrival_utc","scheduled_arrival_local","actual_arrival_local","actual_arrival_is_estimated","status",aircraft_registration,aircraft_type,"family","airline_iata","airline_icao","airline_name"
2,"LG415","2025-10-01 00:00:00","LG415|20251001|ELLX","2025-10-01 04:00:00","2025-10-01 04:18:32","2025-10-01 06:00:00","2025-10-01 06:18:32",False,"ELLX","ELLX","LUX","Luxembourg Findel Airport","Luxembourg","A","B03","LDDU","LDDU","DBV","Dubrovnik Airport","Dubrovnik",NULL,"2025-10-01 06:25:00","2025-10-01 06:23:49","2025-10-01 08:25:00","2025-10-01 08:23:49",False,"landed","LX-LQC","DH8D","Dash 8","LG","LGL","Luxair"
3,"LG3769","2025-10-01 00:00:00","LG3769|20251001|ELLX","2025-10-01 04:00:00","2025-10-01 04:15:57","2025-10-01 06:00:00","2025-10-01 06:15:57",False,"ELLX","ELLX","LUX","Luxembourg Findel Airport","Luxembourg","A","A13","LPPR","LPPR","OPO","Porto Francisco de Sa Carneiro Airport","Porto","T1","2025-10-01 06:30:00","2025-10-01 06:18:01","2025-10-01 07:30:00","2025-10-01 07:18:01",False,"landed","LX-LGV","B738","B737","LG","LGL","Luxair"
4,"LG203","2025-10-01 00:00:00","LG203|20251001|ELLX","2025-10-01 04:00:00","2025-10-01 04:22:22","2025-10-01 06:00:00","2025-10-01 06:22:22",False,"ELLX","ELLX","LUX","Luxembourg Findel Airport","Luxembourg","A","A01","DTTJ","DTTJ","DJE","Djerba Zarzis International Airport","Djerba",NULL,"2025-10-01 06:40:00","2025-10-01 06:49:07","2025-10-01 07:40:00","2025-10-01 07:49:07",False,"landed","LX-LGU","B738","B737","LG","LGL","Luxair"
5,"LG601","2025-10-01 00:00:00","LG601|20251001|ELLX","2025-10-01 04:00:00","2025-10-01 04:45:22","2025-10-01 06:00:00","2025-10-01 06:45:22",False,"ELLX","ELLX","LUX","Luxembourg Findel Airport","Luxembourg","A","A20","LEPA","LEPA","PMI","Palma de Mallorca Airport","Palma de Mallorca","N","2025-10-01 05:55:00","2025-10-01 06:23:33","2025-10-01 07:55:00","2025-10-01 08:23:33",False,"landed","LX-LBB","B738","B737","LG","LGL","Luxair"
6,"LG895","2025-10-01 00:00:00","LG895|20251001|ELLX","2025-10-01 04:05:00","2025-10-01 04:10:37","2025-10-01 06:05:00","2025-10-01 06:10:37",False,"ELLX","ELLX","LUX","Luxembourg Findel Airport","Luxembourg","A","B10","LGTS","LGTS","SKG","Thessaloniki International Airport","Thessaloniki",NULL,"2025-10-01 06:30:00","2025-10-01 06:17:59","2025-10-01 09:30:00","2025-10-01 09:17:59",False,"landed","LX-LBA","B738","B737","LG","LGL","Luxair"
7,"LG681","2025-10-01 00:00:00","LG681|20251001|ELLX","2025-10-01 04:10:00","2025-10-01 04:56:57","2025-10-01 06:10:00","2025-10-01 06:56:57",False,"ELLX","ELLX","LUX","Luxembourg Findel Airport","Luxembourg","A","A16","LEJR","LEJR","XRY","Jerez Airport","Jerez","TP","2025-10-01 06:55:00","2025-10-01 07:14:36","2025-10-01 08:55:00","2025-10-01 09:14:36",False,"landed","LX-LBT","B737","B737","LG","LGL","Luxair"
8,"LG961","2025-10-01 00:00:00","LG961|20251001|ELLX","2025-10-01 04:10:00","2025-10-01 04:31:32","2025-10-01 06:10:00","2025-10-01 06:31:32",False,"ELLX","ELLX","LUX","Luxembourg Findel Airport","Luxembourg","A","A02","DTNH","DTNH","NBE","Enfidha – Hammamet International Airport","Enfidha",NULL,"2025-10-01 06:55:00","2025-10-01 06:31:11","2025-10-01 07:55:00","2025-10-01 07:31:11",False,"landed","LX-LGQ","B737","B737","LG","LGL","Luxair"
9,"LG5781","2025-10-01 00:00:00","LG5781|20251001|ELLX","2025-10-01 04:10:00","2025-10-01 04:33:58","2025-10-01 06:10:00","2025-10-01 06:33:58",False,"ELLX","ELLX","LUX","Luxembourg Findel Airport","Luxembourg","A","B09","ESSA","ESSA","ARN","Stockholm Arlanda Airport","Stockholm","5","2025-10-01 06:55:00","2025-10-01 07:14:45","2025-10-01 08:55:00","2025-10-01 09:14:45",False,"landed","LX-LQD","DH8D","Dash 8","LG","LGL","Luxair"
10,"LG835","2025-10-01 00:00:00","LG835|20251001|ELLX","2025-10-01 04:10:00","2025-10-01 04:51:57","2025-10-01 06:10:00","2025-10-01 06:51:57",False,"ELLX","ELLX","LUX","Luxembourg Findel Airport","Luxembourg","A","A05","LTAI","LTAI","AYT","Antalya Airport","Antalya","1","2025-10-01 07:45:00","2025-10-01 07:55:57","2025-10-01 10:45:00","2025-10-01 10:55:57",False,"landed","LX-LBL","B38M","B737","LG","LGL","Luxair"
